ホール
トレンチ
ダスター
シルバー
カスター
キャッシャー
ハンディ
ベルスター
マドラー
トング
ウェイティング
バッシング
アイドル
ラウンド
セット
ドリンカー
キャリー
アピアランス
チャンバー
チャンバー
リーチイン
ショット
れんげ
レードル
ストーブ
ストッカー
フライヤー
ブッチャー
ポーション
掃除
グリストラップ
先入先出
ヤマ
パントリー
デシャップ
急き前
チップ
3番チェック
固定費
減価償却費
居抜き
什器
スケルトン
動線
動力
深夜酒類提供飲食店営業
食品衛生責任者
呼び名
シャリ
がり
あがり
タネ
光りもの
ヤマ
涙
むらさき
鉄火
カッパ
ギョク
いなり
づけ
いくら
たま
ひも
ぐんかん
手巻き
伊達巻
鉄砲
ちらし
五目
はかりめ
カンヌキ
おあいそ
アンチョビ
イースト
インチ
オステリア
オリーブオイル
シチリア風ピザ
シカゴ風ピッツァ
真のナポリピッツァ協会
全粒粉
レディー・トゥ・ウェア
ロゴ
ワイドスプレッドカラー
ワイルド
ワッシャー加工
ワンポイントマーク
ワードローブ
一枚仕立て
外商
平織
持ち出し
文化服装学院
既製服
段返り
滑革
無彩色
生地
空環
耳当て
色泣き
裁ち出し
金の指貫き賞
針跡残り
